stfid,name,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
55085970101,Census Tract 9701.01,99.2,0.1,0,0,0.1,0.7,0.9,0,4.8,61528,0.4204,2.8
55085971002,Census Tract 9710.02,86.3,1.2,0.5,8.6,0.6,2.7,0.4,0,3.8,56453,0.5162,0.3
55085970800,Census Tract 9708,94,0.2,0,1.3,0.5,4.1,0.5,0,2,58269,0.4022,6.2
55085971400,Census Tract 9714,89.7,1,0,3.7,4.2,1.3,0.4,1.3,3.4,43594,0.4577,8.6
55085971100,Census Tract 9711,96.4,1,0,0.5,0.9,1.2,0.4,0,0.8,62868,0.3671,2
55085970900,Census Tract 9709,95,0.9,1.4,1.1,0.9,0.7,1,0.3,3.5,56250,0.4384,2.9
55085971500,Census Tract 9715,92.4,1.2,0.6,1.9,1.9,2,0.5,0,7.9,42983,0.5013,5.5
55023960200,Census Tract 9602,97.6,0,0,0,0.7,1.6,0.6,0.3,6.1,58200,0.3884,4.4
55023960400,Census Tract 9604,98,0.4,0,0.1,0.5,0.9,0,0.9,1.6,52250,0.4994,4.8
55023960300,Census Tract 9603,96.6,0.1,0.4,0.1,2.5,0.2,0.1,0,4.7,51949,0.4467,4.5
55023960100,Census Tract 9601,92.3,0.6,1.2,0.3,2.8,2.8,3.4,0.5,5.1,44964,0.4984,7.1
55023960600,Census Tract 9606,87,7.4,1.2,0.6,0.7,3.1,0,2.9,4.4,47344,0.4346,11.5
55011960300,Census Tract 9603,90.7,0.6,0,0.2,3.9,4.6,2.4,0.2,8.4,61691,0.384,5
55085970500,Census Tract 9705,95.8,0,1.4,0.5,1.5,0.7,0.7,0,1.1,83472,0.379,0.9
55085970400,Census Tract 9704,98.1,0,0,0.3,0,1.5,0.3,0,3.8,66042,0.4758,4.3
55085971300,Census Tract 9713,91.5,0,2,0,2.9,3.6,1.5,0,3.8,67083,0.5714,5.8
55095960600,Census Tract 9606,93.3,1.8,0.7,1.9,0.4,1.9,1,0,3.2,58346,0.415,2.2
55095961000,Census Tract 9610,97,0.8,0.9,0.2,0.6,0.6,1.2,0,3.2,63433,0.3766,3.6
55011960500,Census Tract 9605,95.2,0.4,0,0.8,1,2.6,0.8,0.1,7.9,61793,0.396,0.8
55095961100,Census Tract 9611,93.4,0,0.2,0.4,3.2,2.8,0.7,0.1,1.7,62781,0.4003,3.2
55095960200,Census Tract 9602,94.1,0.2,1.8,0.6,2.2,1.1,0.4,0.2,3.1,55592,0.382,3
55095960800,Census Tract 9608,95.4,0.7,0.2,0.2,1.5,2.1,0.1,0,3.7,70438,0.3856,2.8
55095960100,Census Tract 9601,93.9,0.3,0.4,0.5,1.1,3.7,0.6,0.3,4,48710,0.4122,4.7
55095960500,Census Tract 9605,94.1,0.3,0,0.2,3.1,2.3,0.8,0,2.7,69219,0.37,1.8
55141011400,Census Tract 114,93.7,1.9,0,0,3.2,1.3,0.7,0,0.8,51798,0.3548,11.8
55141011300,Census Tract 113,83.7,0.4,5.7,0,2.2,8,3.4,0,4.1,47939,0.3902,3.6
55141010700,Census Tract 107,96.4,0,1,0.1,0.5,2,0.9,0,3.2,74527,0.4248,1.2
55141010500,Census Tract 105,96.5,0,0.8,0,2.2,0.6,0,0,3.4,64598,0.4461,4.3
55141010400,Census Tract 104,90.3,0,2.1,0,1.4,6.3,2.8,0.4,1.1,48512,0.4659,0.8
55141011100,Census Tract 111,88,0.9,1.7,0.1,2.4,7,0.3,0,4.4,51339,0.3725,3
55141011000,Census Tract 110,86.3,1.1,5,1,2.8,3.9,1.6,0,2.8,52619,0.3768,6.1
55119960400,Census Tract 9604,94.6,0.1,0.5,0.4,1.6,2.8,1.2,0,3.9,55547,0.4088,4.9
