,Address,,,,,,,,,,,,
Name,House Number,Street,City,Open Past 5,Open Weekends,Cats,Dogs,Others,Payment Plan,Full service,Low cost,Lat,Long
Precision Veterinary,6107,Odana Road,Madison,Y,N,Y,Y,N,N,N,Y,43.05266,-98.4862
Sandhill Pet Clinic,3225,E Washington Ave,Madison,Y,N,Y,Y,Y,N,Y,N,43.10987,-89.33383
Sauk Point Veterinary Clinic,725,N High Point Road,Madison,Y,Y,Y,Y,Y,Y,Y,N,43.07579,-89.51759
Sondel Family Veterinary Clinic East,5259,High Crossing Blvd,Madison,Y,N,Y,Y,,Y,Y,N,43.13807,-89.28945
Sondel Family Veterinary Clinic West,1848,Waldorf Blvd,Madison,Y,N,Y,Y,,Y,Y,N,43.03183,-89.52672
Spartan Animal Hospital,4811,Larson Beach Rd,McFarland,Y,N,Y,Y,Y,Y,Y,N,43.01711,-89.29906
Spring Harbor Animal Hospital,5129,University Ave,Madison,Y,N,Y,Y,N,Y,Y,N,43.07718,-89.47015
Stoughton Veterinary Service,1900,US 51,Stoughton,Y,Y,Y,Y,Y,,Y,N,42.91865,-89.24375
Sun Prairie Pet Clinic,1512,N Bristol St,Sun Prairie,Y,Y,Y,Y,N,,Y,N,43.20096,-89.21137
Token Creek Veterinary Clinic,3790,State Road 19,Sun Prairie,Y,N,Y,Y,N,N,Y,N,43.19463,-89.29113
True Vet Care,901,Kimball Lane,Verona,N,N,Y,Y,N,N,Y,N,42.97882,-89.51528
Truesdell Animal Care Hospital,4214,Milwaukee Street,Madison,Y,Y,Y,Y,Y,Y,Y,N,43.09894,-89.31176
Underdog Veterinary Services,231,S Fair Oaks Avenue,Madison,Y,N,Y,Y,N,,Y,Y,43.09393,-89.34067
UW Veterinary Care,2015,Linden Drive,Madison,Y,Y,Y,Y,Y,Y,Y,N,43.07528,-89.42111
VCA Animal Hospital,4902,East Broadway,Madison,Y,Y,Y,Y,,Y,N,N,43.04844,-89.2982
Verona Veterinary Medical Service,655,Half Mile Road,Verona,Y,Y,Y,Y,Y,,Y,N,42.98722,-89.54771
Village Animal Clinic,270,W Netherwood Rd,Oregon,Y,Y,Y,Y,,,Y,N,42.93587,-89.38666
Wags and Purrs Rehab,6771,University Ave,Middleton,N,Y,Y,Y,,,N,N,43.09676,-89.49827
Waunakee Veterinary Clinic,1004,Quinn Dr,Waunakee,Y,Y,Y,Y,Y,,Y,N,43.17962,-89.43128
West Towne Veterinary Center,6605,Mineral Point Road,Madison,N,N,Y,Y,,,Y,N,43.06039,-89.49569
Whole Pet Veterinary Clinic,1222,South Park Street,Madison,Y,N,Y,Y,,Y,Y,N,43.05317,-89.3963
WisCARES,1402,Emil Street,Madison,N,N,Y,Y,,Y,N,Y,43.03683,-89.40685
Wisconsin Community Veterinary Center,4475,Robertson Road,Madison,Y,Y,Y,Y,,Y,Y,Y,43.09111,-89.3083
